brands,sourceUrl,type,produces,id,source,evConversionPlans,investmentAmount,countryId,manufacturer,location.lat,location.lng,city,name
Mercedes-Benz,https://group.mercedes-benz.com/company/production/production-network/mercedes-benz-plant-ludwigsfelde.html,ev,LCVs,mercedes-benz-ludwigsfelde,Mercedes-Benz Group,"The Ludwigsfelde plant produces eSprinter cab-chassis variants and serves as a center for eVan customization. The facility launched the start-up factory for the VAN.EA modular electric platform in 2026, with eSprinter production scheduled to phase out by the end of 2029.",€50m for eSprinter production upgrades,DEU,MERCEDES-BENZ GROUP,52.301144,13.261627,Ludwigsfelde,MERCEDES-BENZ GROUP Ludwigsfelde
Mercedes-Benz,https://theevreport.com/mercedes-benz-begins-new-cla-production,ev,Cars,mercedes-benz-rastatt,The EV Report,"The Rastatt plant produces the all-electric CLA, the first model on the Mercedes Modular Architecture (MMA) platform. The facility uses flexible assembly lines to manufacture electric, hybrid, and conventional vehicles. Series production of the electric CLA commenced in mid-2025.",€500m investment in plant facilities,DEU,MERCEDES-BENZ GROUP,48.859117,8.20591,Rastatt,MERCEDES-BENZ GROUP Rastatt
Mercedes-Benz,https://www.electrive.com/2022/06/30/mercedes-invests-e2-billion-in-eu-assembly-plants-for-evs/,ev,Cars,mercedes-benz-sindelfingen,electrive.com,The Sindelfingen plant serves as the lead facility for Mercedes-Benz's Top End Luxury segment. Production of electric models based on the high-performance AMG.EA platform and operations at a new EV battery factory were scheduled to commence in 2025.,Hundreds of millions for Sindelfingen conversion,DEU,MERCEDES-BENZ GROUP,48.707456,9.004405,Sindelfingen,MERCEDES-BENZ GROUP Sindelfingen
Mercedes-Benz,https://www.marklines.com/en/news/305886,ev,LCVs,mercedes-benz-vitoria,MarkLines,"Mercedes-Benz has upgraded its Vitoria plant to produce the all-electric VLE van using the modular Van Electric Architecture (VAN.EA). The facility features a modernized assembly hall for both electric and combustion models, with full EV production having commenced in the first half of 2026.",€1 billion for production expansion,ESP,MERCEDES-BENZ GROUP,42.859166,-2.681792,Vitoria,MERCEDES-BENZ GROUP Vitoria
Mol special trucks,https://electrek.co/2024/06/06/volvo-penta-and-mol-team-up-on-new-4wd-electric-roro-trucks/,ev,HDVs,mol-cy-staden,Electrek,"MOL CY produces electric heavy-duty vehicles at its Staden facility, including the RME225 RoRo terminal tractor and RailRoute vehicles. The plant continues to manufacture diesel and military vehicles alongside its electric lineup.",No data available.,BEL,MOL CY,50.974651,3.014574,Staden,MOL CY Staden
Piaggio,https://www.piaggiogroup.com/en/archive/press-releases/piaggio-group-presents-new-porter-npe-first-electric-city-truck,ev,LCVs,piaggio-pontedera,Piaggio Group,"Piaggio's Pontedera plant produces electric motors for next-generation zero-emission vehicles and manufactures the Porter NPE, the company's first fully electric light commercial truck. The facility also serves as a hub for research and development of EV components and systems.",€112m invested in the plant,ITA,PIAGGIO,43.662516,10.636359,Pontedera (Pisa),PIAGGIO Pontedera (Pisa)
Electric and hydrogen bus,https://www.electrive.com/2023/05/30/italian-authorities-get-funding-to-procure-rampini-buses/,ev,Buses,rampini-passignano-sul-trasimeno,electrive.com,"The Passignano sul Trasimeno facility is a zero-emission plant producing Eltron and Sixtron electric buses and Hydron hydrogen buses. Since its expansion in 2024, the site has also included the H2EUPower division for developing hydrogen fuel cell power systems.",No data available.,ITA,RAMPINI,43.19887554,12.11628079,Passignano sul Trasimeno,RAMPINI Passignano sul Trasimeno
"Renault, Nissan",https://www.marklines.com/en/global/165,ev,LCVs,renault-sovab-batilly,MarkLines Automotive Industry Portal,"The Batilly (SOVAB) plant produces the all-electric Renault Master E-Tech. Production of the Renault Master H2-Tech, a hydrogen fuel-cell commercial van, commenced in late 2025 on the same multi-energy assembly line.",€130m investment in the plant,FRA,RENAULT (SOVAB),49.164711,5.972459,Batilly (Metz),RENAULT (SOVAB) Batilly (Metz)
Alpine,https://www.renaultgroup.com/en/our-company/locations/manufacture-alpine-dieppe-jean-redele/,ev,Cars,renault-dieppe,Renault Group,"The Manufacture Alpine Dieppe Jean Redele plant has been converted to produce electric vehicles on the CMF-EV platform. Production of the Alpine A390, an all-electric sport fastback, was scheduled to commence at the facility in 2025.",No data available.,FRA,RENAULT GROUP,49.922992,1.077483,Dieppe,RENAULT GROUP Dieppe
Renault,https://www.renaultgroup.com/en/news-on-air/news/ampere-douai-multi-brand-electric-expertise/,ev,"Cars, Batteries",renault-douai,Renault Group,"The Douai facility is a 100% electric vehicle production site within Renault's Ampere ElectriCity hub, manufacturing the Megane E-Tech, Scénic E-Tech, and Renault 5 E-Tech, alongside Nissan and Mitsubishi models. An on-site battery gigafactory with Envision AESC launched with an initial capacity of 9 GWh in 2024 and is expanding to 30 GWh by 2030.",€2.55bn for EV and battery production,FRA,RENAULT GROUP,50.367874,3.080602,Douai,RENAULT GROUP Douai
Renault,https://media.renaultgroup.com/changenow-2024-renault-group-and-the-future-is-neutral-accelerate-in-the-circular-economy/,ev,Cars,renault-flins,Renault Group,"Renault's Flins plant has transitioned to a Re-Factory dedicated to the circular economy. The site remanufactures and reconditions over 3,000 EV components annually, including motors, power electronics, and traction batteries.",€500 million for plant investment,FRA,RENAULT GROUP,48.962687,1.87006,Flins,RENAULT GROUP Flins
"Renault, Mercedes-Benz, Nissan; drive batteries",https://www.renaultgroup.com/en/news-on-air/news/4-million-kangoo-vehicles-made-in-maubeuge-a-testament-to-its-success/,ev,"LCVs, Batteries",renault-maubeuge,Renault Group,"The Maubeuge facility is a core component of Renault's ElectriCity hub, assembling the Renault 4 E-Tech and Kangoo E-Tech electric models. The site features an integrated battery assembly workshop and produces electric commercial vans for partners Nissan and Mercedes-Benz.",€450 million in plant investment,FRA,RENAULT GROUP,50.280228,3.9674,Maubeuge,RENAULT GROUP Maubeuge
Renault,https://seenews.com/news/slovenia-backs-renaults-revoz-with-29-mln-euro-for-ev-production-1286250,ev,Cars,renault-novo-mesto,SeeNews,"The Revoz plant in Novo Mesto produces the Twingo E-Tech Electric. As part of the E-Move consortium, the facility manufactures electric vehicle bodies, chassis, and powertrains.",€123m for EV and component production,SVN,RENAULT GROUP,45.801082,15.171009,Novo Mesto,RENAULT GROUP Novo Mesto
Renault,https://eletric-vehicles.com/renault-eyes-spanish-factory-for-compact-ev-production-as-it-expands-lineup/,ev,Cars,renault-palencia,eletric-vehicles.com,Renault Group's Palencia plant is scheduled to begin manufacturing next-generation C-segment and D-segment electric vehicles in 2027 or 2028. The facility will produce up to three electric models based on the AmpR Medium 800-volt platform and includes a new EV battery assembly project.,€83.3m for EV and battery production,ESP,RENAULT GROUP,42.009686,-4.528802,Palencia,RENAULT GROUP Palencia
"Renault, Nissan, Mitsubishi",https://media.renaultgroup.com/renault-groups-sandouville-plant-is-set-to-build-a-revolutionary-generation-of-electric-lcvs-for-flexis-sas/,ev,LCVs,renault-sandouville,Renault Group,"The Sandouville plant manufactures a new generation of all-electric light commercial vehicles using a connected 800V skateboard platform. Production commenced in 2026, beginning with the Renault Trafic Van E-Tech electric.",€300 million in plant investment,FRA,RENAULT GROUP,49.496903,0.31919,Sandouville,RENAULT GROUP Sandouville
"Mitsubishi, Renault; Lithium-ion batteries",https://www.investinspain.org/en/news/2024/01/stellantis-investment-spain,ev,"Cars, Engines/Electric motors, Batteries",renault-valladolid,Invest in Spain (ICEX),"The Valladolid plant produces 100% electric vehicle batteries and plug-in hybrid electric vehicle engines. Battery assembly was established with support from the Spanish government's PERTE VEC II program, while the HORSE joint venture manages the hybrid engine production line.",€12.5m for battery and engine production,ESP,RENAULT GROUP,41.652251,-4.724532,Valladolid,RENAULT GROUP Valladolid
Rimac electric hypercars; Battery packs; Electric powertrain systems,https://seenews.com/news/croatias-rimac-completes-120-mln-euro-campus-phase-one-871891,ev,"Cars, Engines/Electric motors, Batteries",rimac-sveta-nedjelja,SeeNews,"The Rimac Campus in Sveta Nedelja is a 75,000 sq m facility dedicated to EV production, components, and batteries. The site assembles the Nevera and Nevera R electric hypercars while serving as an R&D hub for Rimac Technology. It produces high-volume battery projects for European automakers, including BMW, alongside solid-state batteries and e-axle drive units.",Over €300m investment in new production,HRV,RIMAC GROUP,45.796376,15.7755713,Sveta Nedjelja,RIMAC GROUP Sveta Nedjelja
Roman,https://en.wikipedia.org/wiki/DAC_(vehicle_manufacturer),ev,"HDVs, Engines/Electric motors",roman-braov,Wikipedia - DAC (vehicle manufacturer),"The Brașov facility, under Autovehicule DAC S.A., relaunched the DAC brand in 2025 for exclusive electric vehicle production. The site assembles electric buses, urban logistics and sanitation trucks, and mining dump trucks from CKD kits, targeting 30,000 EV sales by 2035.",No data available.,ROU,ROMAN,45.657976,25.601198,Braşov,ROMAN Braşov
"Safra, Hycity hydrogen buses",https://safra.fr/en/news/safra-a-strengthened-organization-dedicated-to-innovation-and-energy-transition/,ev,Buses,safra-albi,SAFRA Official Press Release,"The Safra New Mobility site in Albi produces battery-electric and hydrogen vehicles. The battery-electric HYCITY bus launched in late 2025, and production of the INYCIA minibus and EVANYA electric van commenced in early 2026.",€27m for expansion and asset acquisition,FRA,SAFRA,43.91783554,2.09505129,Albi,SAFRA Albi
Sin supercars,https://seenews.com/news/bulgarian-ev-maker-sin-cars-to-expand-production-to-romania-797528,ev,Cars,sin-cars-giurgiu,SeeNews / SIN CARS Industry AD Public Offering Memorandum,"SIN CARS is constructing a manufacturing plant in Giurgiu, Romania, for 'L CITY' electric vehicles. The first phase is scheduled for completion by December 2026 with an initial capacity of 3,000 units per year, scaling to 100,000 units annually by 2030.",€5.59m for initial plant construction,ROU,SIN CARS,43.81843351,25.92970641,Giurgiu,SIN CARS Giurgiu
Škoda,No information found,ev,Buses,skoda-plze,No information found,"The Škoda Group site in Plzeň is a dedicated electric mobility manufacturing facility. It produces electric buses, battery trolleybuses, battery electric multiple units, and traction drives, with no further conversion plans for the 2024-2026 period.",No data available.,CZE,SKODA GROUP,49.741944,13.357778,Plzeň,SKODA GROUP Plzeň
Sor,https://www.sor.cz/,ev,Buses,sor-libchavy,SOR Libchavy Official Website,The Libchavy facility produces battery electric buses and trolleybuses as part of its established production line. There were no plans to convert the facility during the 2024-2026 period as EV production was already fully integrated.,No data available.,CZE,SOR,50.005475,16.38904,Libchavy,SOR Libchavy
"Peugeot, Citroën, Opel/Vauxhall, Fiat and Toyota; battery packs",https://moparinsiders.com/stellantis-pulls-plug-on-hydrogen-van-plans/,ev,"LCVs, Batteries",stellantis-sevelnord-hordain,MoparInsiders,"The Hordain facility produces battery-electric light commercial vehicles on a multi-energy production line. While the plant originally planned to assemble hydrogen fuel cell vans, Stellantis canceled the program in 2025 to focus exclusively on battery-electric and hybrid vehicle production.",No data available.,FRA,STELLANTIS (SEVELNORD),50.262392,3.312659,Hordain,STELLANTIS (SEVELNORD) Hordain
"Fiat, Opel/Vauxhall, Peugeot, Citroën",https://www.stellantis.com/en/news/press-releases/2025/m-a-and-partnerships/stellantis-pro-one-and-iveco-team-up-for-the-supply-of-two-electric-iveco-branded-vans,ev,LCVs,stellantis-sevelsud-val-di-sangro,Stellantis Official Press Release,"The Atessa facility produces large electric vans, including the Fiat E-Ducato and Cargo Box BEV. A partnership between Stellantis and IVECO includes the production of two new all-electric light commercial vehicles, which commenced in mid-2026.",No data available.,ITA,STELLANTIS (SEVELSUD),42.14862,14.44875,Val di Sangro (Atessa),STELLANTIS (SEVELSUD) Val di Sangro (Atessa)
"Alfa Romeo, Maserati",https://www.electrive.com/2024/12/19/stellantis-to-invest-e2-billion-in-italian-plants/,ev,Cars,stellantis-cassino,electrive.com,"The Cassino plant uses the BEV-centric STLA Large platform. Production of the next-generation Alfa Romeo Stelvio SUV was scheduled to begin in 2025, with the Alfa Romeo Giulia replacement and an additional luxury model following in 2026.",Part of €2 billion Italian facility investment,ITA,STELLANTIS,41.490789,13.833378,Cassino,STELLANTIS Cassino
"Electric, petrol and diesel for Peugeot, Citroen, Opel/Vauxhall and DS",https://www.eenewseurope.com/en/acc-raises-4-4bn-for-next-european-battery-gigafactories/,ev,Engines/Electric motors,stellantis-douvrin,eeNews Europe,"The Douvrin gigafactory, operated by Automotive Cells Company (ACC), produces lithium-ion battery cells and modules. Since its 2023 opening, the site has expanded with a second production block to increase manufacturing capacity.",€5.2 billion for European battery facilities,FRA,STELLANTIS,50.510541,2.83204,Douvrin,STELLANTIS Douvrin
Opel/Vauxhall; Battery packs,https://www.stellantis.com/en/news/press-releases/2023/march/stellantis-invests-130-million-in-eisenach-assembly-plant-in-germany-for-electric-opel-grandland-successor,ev,"Cars, Batteries",stellantis-eisenach,Stellantis,"The Eisenach Assembly Plant produces the electric successor to the Opel Grandland, with production having commenced in late 2024. The facility utilizes the STLA Medium platform to support Opel’s transition to an all-electric European lineup by 2028.",€130 million investment in plant operations,DEU,STELLANTIS,50.979572,10.314687,Eisenach,STELLANTIS Eisenach
"Citroen, Fiat, Opel/Vauxhall, Peugeot",https://www.motorfinanceonline.com/news/stellantis-and-iveco-sign-agreement-for-electric-van-supply-in-europe/,ev,LCVs,stellantis-gliwice,Motor Finance Online,"The Gliwice plant is a hub for Stellantis electric light commercial vehicles, producing the Fiat Professional e-Ducato and battery-electric vans for Toyota. In partnership with IVECO, the facility launched two new all-electric LCVs in mid-2026. The site focuses exclusively on battery-electric and hybrid mobility.",€300m for modernized electric van manufacturing,POL,STELLANTIS,50.31924353,18.62464775,Gliwice,STELLANTIS Gliwice
Citroën,https://www.investinspain.org/en/news/2024/stellantis-battery-production,ev,Cars,stellantis-madrid,ICEX Invest in Spain,"Stellantis Madrid produces the Citroen e-C4 and e-C4 X models. The facility features a battery assembly workshop with a 50,000-unit annual capacity and has expanded with a third assembly line. Through the ARIES project, the site began developing next-generation electric vehicles and sustainable energy solutions in 2025.",€2.3m for third battery assembly line,ESP,STELLANTIS,40.3624983,-3.7001822,Madrid (Villaverde),STELLANTIS Madrid (Villaverde)
"Citroën, Fiat, Opel, Peugeot",https://www.stellantis.com/en/news/press-releases/2023/march/stellantis-allocates-electric-van-to-mangualde-to-support-light-commercial-vehicle-leadership-in-europe,ev,LCVs,stellantis-mangualde,Stellantis,"The Mangualde facility produces battery-electric light commercial vehicles and passenger vans for Citroen, Fiat, Opel, and Peugeot. Following the installation of a new battery assembly line, mass production was scheduled to scale up between 2024 and 2025.",€119m for joint GreenAuto factory investment,PRT,STELLANTIS,40.608372,-7.766415,Mangualde,STELLANTIS Mangualde
"Fiat, Jeep",https://www.electrive.com/2024/12/19/stellantis-to-invest-e2-billion-in-italian-plants/,ev,Cars,stellantis-melfi,electrive.com,"The Melfi plant was upgraded to the STLA Medium platform for a 2025 production launch. The facility produces electric and hybrid versions of the Jeep Compass, Lancia Gamma, and DS 7, alongside the all-electric DS 8.",Part of €2 billion Italian investment,ITA,STELLANTIS,40.993314,15.653109,Melfi (Potenza),STELLANTIS Melfi (Potenza)
"Abarth, Fiat, Maserati; Electric drive motors",https://www.stellantis.com/en/news/press-releases,ev,"Cars, Engines/Electric motors, Batteries",stellantis-mirafiori,Stellantis Official Press Releases,"The Mirafiori Automotive Park 2030 features a Battery Technology Center and produces up to 600,000 electrified dual-clutch transmissions annually. The site manufactures the electric Fiat 500e and introduced the hybrid Fiat 500 Ibrida in early 2026.",€340m for Mirafiori Automotive Park transformation,ITA,STELLANTIS,45.021022,7.588697,Mirafiori (Torino),STELLANTIS Mirafiori (Torino)
Maserati,https://www.magnetomagazine.com/maserati-looks-to-past-to-define-future-with-return-to-bespoke-manufacturing/,ev,Cars,stellantis-modena,Magneto Magazine,"The Modena plant is a bespoke vehicle hub for Stellantis. As of late 2025, the facility produces the all-electric Maserati GranTurismo and GranCabrio Folgore models following their transfer from the Mirafiori plant.",€4m for Modena production transfer,ITA,STELLANTIS,44.647128,10.925227,Modena,STELLANTIS Modena
"DS, Peugeot; Assembly of drive batteries",https://www.stellantis.com/en/news/press-releases/2022/december/electric-motors-production-ramp-up-to-reach-more-than-1-million-in-france-by-2024,ev,"Cars, Batteries",stellantis-mulhouse,Stellantis,"The Mulhouse plant produces the Peugeot e-308 sedan, e-308 SW, and e-408. A partnership with Vulcan Energy Resources is implementing a geothermal energy project to decarbonize the facility's power supply starting in 2026.",€2 billion in French production facilities,FRA,STELLANTIS,47.750839,7.335888,Mulhouse,STELLANTIS Mulhouse
"DS, Opel",https://www.just-auto.com/,ev,Cars,stellantis-poissy,Just Auto,"The Poissy plant produces the DS 3 E-TENSE and Opel Mokka Electric on a multi-energy platform. A €20 million investment for metal work and recycling was announced in 2025, though the site is not a dedicated EV or battery facility. A decision regarding production beyond 2028 was expected in early 2026.",No data available.,FRA,STELLANTIS,48.929584,2.046982,Poissy,STELLANTIS Poissy
"Alfa Romeo, Dodge, Fiat",https://www.carscoops.com/2024/12/stellantis-invests-2-1b-to-build-3-new-alfa-romeos-jeep-compass-and-more-in-italy/,ev,Cars,stellantis-pomigliano-darco,Carscoops,"The Pomigliano d'Arco plant is scheduled to introduce the multi-energy STLA Small platform in 2028 to produce at least two new compact models with EV options. The facility continues to manufacture the Fiat Panda through 2030, with no current plans for a full EV transition or battery gigafactory.",Part of €2b investment for 2025,ITA,STELLANTIS,40.91013,14.382912,Pomigliano d'Arco (Napoli),STELLANTIS Pomigliano d'Arco (Napoli)
"Citroën, Peugeot",https://www.electrive.com/2023/06/06/stellantis-gears-up-rennes-factory-for-suv-production/,ev,Cars,stellantis-rennes,electrive.com,"The Rennes facility produces the CR3 all-electric SUV using the STLA Medium platform, with production having commenced in 2025. The site features an in-house battery assembly workshop and a dedicated plastic injection molding facility.",€160m investment in plant facilities,FRA,STELLANTIS,48.117266,-1.677793,Rennes,STELLANTIS Rennes
Opel/Vauxhall,https://www.stellantis.com/en/news/press-releases/2024/june/transformation-of-the-stellantis-russelsheim-site-the-green-campus-project,ev,"Cars, LCVs",stellantis-rsselsheim,Stellantis Media,"The Rüsselsheim facility produces the Opel Astra Electric and DS 4 with an in-house battery assembly shop. Stellantis developed the carbon-neutral grEEn-campus at the site, with geothermal renewable energy for power and heat that was planned to commence in 2025.",€100m+ for platform and site transformation,DEU,STELLANTIS,49.98875,8.421698,Rüsselsheim,STELLANTIS Rüsselsheim
"DS, Peugeot; Drive battery packs",https://www.stellantis.com/en/news/press-releases/2022/december/electric-motors-production-ramp-up-to-reach-more-than-1-million-in-france-by-2024,ev,"Cars, Batteries",stellantis-sochaux,Stellantis,"The Sochaux facility produces electric vehicles on the STLA Medium platform, including the Peugeot e-3008 and e-5008 models launched between 2024 and 2026. The site also features a dedicated battery assembly workshop.",€100m for new painting unit,FRA,STELLANTIS,47.513075,6.830703,Sochaux,STELLANTIS Sochaux
"Opel, Peugeot, Citroen, DS",https://www.electrive.com/2024/02/13/stellantis-prepares-electric-motor-production-in-hungary/,ev,Engines/Electric motors,stellantis-szentgotthrd,electrive.com,"Stellantis is expanding its Szentgotthárd facility to produce 3-in-1 electric drive modules (EDMs) for vehicles on the STLA platform. Production of electric motor, reduction gearset, and inverter components is scheduled to begin in late 2026.",€103 million investment in plant facilities,HUN,STELLANTIS,46.950004,16.285398,Szentgotthárd,STELLANTIS Szentgotthárd
Electric and conventional,https://www.stellantis.com/en/news/press-releases/2022/june/transformation-in-action-tremery-metz-powertrain-plants-in-france-support-stellantis-electrified-portfolio,ev,Engines/Electric motors,stellantis-trmery,Stellantis Official Press Release,"The Trémery plant has transitioned from diesel engine production to mass-producing electric vehicle motors via the Emotors joint venture. Since 2024, the facility has been scaling capacity to exceed 1 million electric motors per year to support the Stellantis EV lineup.",€150m for Trémery-Metz facility upgrades,FRA,STELLANTIS,49.246379,6.224908,Trémery,STELLANTIS Trémery
"Peugeot, Citroën; Drive batteries",https://seva.sk/europe-runs-on-polish-lithium-ion-batteries/,ev,"Cars, Batteries",stellantis-trnava,Slovak Electric Vehicle Association (SEVA),"The Trnava plant produces the all-electric Citroen e-C3 on the Smart Car platform, having reached full production capacity in 2024. The site is under evaluation for Leapmotor electric crossover production and utilizes a 25 MW battery energy storage system and solar array for sustainable operations.",€180 million in plant investment,SVK,STELLANTIS,48.380416,17.587819,Trnava,STELLANTIS Trnava
"Tychy, Poland",Confirmed,ev,Engines/Electric motors,stellantis-tychy,https://www.electrive.com/2021/01/04/fiat-chrysler-to-build-evs-in-poland-from-2022/,"The Dortmund facility produces the City 45 Electric and City 75 Electric minibuses. Owned by RESVION, the site has expanded across Europe and reached a production capacity of 1,200 units annually.",No data available.,POL,STELLANTIS,50.10466978,19.07604904,Tychy,STELLANTIS Tychy
"Citroën, Fiat, Peugeot, Opel/Vauxhall, Toyota; Electric motors; Lithium-ion battery packs",https://www.electrive.com/2023/11/27/stellantis-to-build-small-electric-cars-in-spain/,ev,"Cars, LCVs, Engines/Electric motors, Batteries",stellantis-vigo,electrive.com,The Vigo assembly plant produces compact electric vehicles using the BEV-native STLA Small platform. The facility features a dedicated EV battery production line established with support from the PERTE VEC II program.,€1bn for STLA Small EV platform,ESP,STELLANTIS,42.240599,-8.720727,Vigo,STELLANTIS Vigo
"Citroën, Lancia, Opel/Vauxhall, Peugeot; Lithium-ion batteries",https://www.stellantis.com/en/news/press-releases/2024/december/stellantis-and-catl-to-invest-up-to-euro-4-1-billion-in-joint-venture-for-large-scale-lfp-battery-plant-in-spain,ev,"Cars, Batteries",stellantis-zaragoza,Stellantis Corporate Communications,Stellantis and CATL are establishing a carbon-neutral lithium iron phosphate (LFP) battery plant at the Zaragoza facility. Production is slated to begin by late 2026 with a potential capacity of 50 GWh to support affordable electric vehicle production. The project is supported by nearly €300 million in Spanish government subsidies.,€4.1 billion for plant production investment,ESP,STELLANTIS,41.648823,-0.889085,Zaragoza,STELLANTIS Zaragoza
Volta Trucks,https://www.electrive.com/2025/07/16/steyr-automotive-to-produce-electric-trucks-for-superpanther-in-austria/,ev,HDVs,steyr-automotive-steyr,electrive.com,"Steyr Automotive serves as a contract manufacturer for electric heavy-duty vehicles, including the Volta Zero electric truck. The facility also acts as a production partner for Chinese brands SuperPanther and Sinotruk to supply the European market.",€25m for initial electric vehicle program,AUT,STEYR AUTOMOTIVE,48.05009,14.41827,Steyr,STEYR AUTOMOTIVE Steyr
Sunsundegui,https://en.wikipedia.org/wiki/Sunsundegui,ev,Buses,sunsundegui-altsasu,Wikipedia,"Sunsundegui had intended to begin electric vehicle production in 2024 through a partnership with Volvo. However, the company entered liquidation in April 2025, resulting in the cessation of all operations and the cancellation of its EV conversion plans.",€24.9m for electric vehicle manufacturing,ESP,SUNSUNDEGUI,42.90198892,-2.187832784,Altsasu,SUNSUNDEGUI Altsasu
Suzuki,https://bbj.hu/business/industry/auto/production-and-share-up-at-magyar-suzuki-despite-shrinking-market,ev,Cars,suzuki-esztergom,Budapest Business Journal,Magyar Suzuki plans to introduce five new electric models by 2030. The Esztergom assembly plant is undergoing technological and decarbonization upgrades to serve as a primary production hub for these future electric vehicles.,€99.5m for plant and technology upgrades,HUN,SUZUKI,47.788395,18.743445,Esztergom,SUZUKI Esztergom
"Tatra heavy trucks, military vehicles",https://czechoslovakgroup.com/,ev,HDVs,tatra-koprivnice,Czechoslovak Group (CSG),"The Kopřivnice plant produces the Tatra Force e-Drive line, including fully battery-electric 8x8 heavy-duty trucks. The facility is developing hydrogen fuel cell and plug-in hybrid powertrains while reaching a production capacity of 3,000 vehicles annually.",7.3 billion Kč for plant modernization,CZE,TATRA,49.59947,18.14481,Koprivnice,TATRA Koprivnice
Tesla,https://www.electrive.com/2025/12/17/tesla-to-start-battery-cell-production-in-grunheide-from-2027/,ev,"Cars, Batteries",tesla-motors-grnheide,electrive.com,"The Grünheide Gigafactory produces electric vehicles and battery modules. Tesla is doubling production capacity to 1 million vehicles annually through 2026. Future expansions include full battery cell production targeting 8 GWh by 2027, a new R&D center, and enhanced logistical infrastructure.",€5 billion total Gigafactory investment,DEU,TESLA MOTORS,52.39399,13.791896,Grünheide,TESLA MOTORS Grünheide
Toyota,https://www.toyotacaetano.pt/,ev,Cars,toyota-caetano-portugal-ovar,Toyota Caetano Portugal,The Ovar plant produced approximately 250 to 260 units of the Toyota Accessible People Mover (APM). This electric microcar was developed to provide inclusive mobility for the Paris 2024 Olympic and Paralympic Games.,€14.5m investment in plant production,PRT,TOYOTA CAETANO PORTUGAL,40.85964,-8.625331,Ovar,TOYOTA CAETANO PORTUGAL Ovar
Toyota,https://www.czechinvest.gov.cz/en/Our-services/News/A-major-success-for-the-Czech-Republic-Toyota-to-start-manufacturing-electric-cars-and-batteries-in-Kolin,ev,Cars,toyota-kolin,CzechInvest,"Toyota Kolin has expanded its facility to 173,000 square meters to produce a new battery electric vehicle (BEV) and complete battery systems. The site includes a dedicated battery assembly facility as well as new paint and welding shops.",€680m investment for new production facility,CZE,TOYOTA MOTOR EUROPE,50.027329,15.202728,Kolin,TOYOTA MOTOR EUROPE Kolin
"Caetano, Toyota",https://www.bpfomento.pt/en/portfolio/caetanobus/,ev,Buses,toyota-vila-nova-de-gaia,Banco Português de Fomento,The Vila Nova de Gaia facility produces battery electric and hydrogen fuel cell buses. Current initiatives through 2026 include expanding zero-emission production capacity and launching a new generation of electric city and articulated buses featuring CATL battery systems.,€14.2m investment in plant facilities,PRT,TOYOTA MOTOR EUROPE,41.123876,-8.611785,Vila Nova de Gaia (Porto),TOYOTA MOTOR EUROPE Vila Nova de Gaia (Porto)
Toyota,https://newsroom.toyota.eu/toyota-announces-a-new-investment-in-a-circular-factory-in-poland/,ev,Engines/Electric motors,toyota-wabrzych,Toyota Motor Europe,"Toyota's Wałbrzych site features a 25,000-square-meter Circular Factory opened in 2026. The facility processes 20,000 end-of-life vehicles annually to recover, recycle, and refurbish traction batteries and other components.",€25m for initial electric vehicle program,POL,TOYOTA MOTOR EUROPE,50.80860839,16.32531149,Wałbrzych,TOYOTA MOTOR EUROPE Wałbrzych
Electric engines,https://www.valeo.com/en/our-presence-in-poland/,ev,Engines/Electric motors,valeo-siemens-eautomotive-czechowice-dziedzice,Valeo,"The Valeo facility in Czechowice-Dziedzice produces electric motors and high-voltage powertrains. Following a major expansion and conversion in 2021, the site provides specialized support for electric vehicle production.",€25m for initial electric vehicle program,POL,VALEO SIEMENS eAUTOMOTIVE,49.88443699,19.00004689,Czechowice-Dziedzice,VALEO SIEMENS eAUTOMOTIVE Czechowice-Dziedzice
"AMG, Mercedes-Benz; Lithium-ion battery modules and battery packs",https://www.electrive.com/2025/09/01/finnish-state-takes-control-of-valmet-and-ioncor/,ev,"Cars, Batteries",valmet-automotive-uusikaupunki,electrive.com,"The Uusikaupunki facility operates a major EV battery plant. Following the 2024 spinoff of the battery business into IONCOR, the Finnish State acquired a 70% majority stake in 2025. The site focuses on developing and commercializing modular battery systems for heavy-duty transport, commercial vehicles, and the automotive industry.",€175m investment for IONCOR plant expansion,FIN,VALMET AUTOMOTIVE,60.800202,21.422542,Uusikaupunki,VALMET AUTOMOTIVE Uusikaupunki
Vanwall hypercars,https://www.electrive.com/2023/01/19/vanwall-presents-compact-ev-with-racing-genes/,ev,Cars,vanwall-greding,electrive.com,Vanwall (ByKolles Racing) is assembling a limited 500-unit run of the Vandervell S and Vandervell S Plus electric hatchbacks at its Greding facility. There are no plans for a broader facility conversion or mass EV and battery production through 2026.,€25m for initial electric vehicle program,DEU,VANWALL,49.04802576,11.33774574,Greding,VANWALL Greding
VDL Jonckheere,https://www.sustainable-bus.com/news/vdl-centralizes-city-bus-production-in-belgium-cuts-jobs-in-the-netherlands-media-reports/,ev,Buses,vdl-roeselare,Sustainable Bus,"VDL Bus & Coach operates a 27,000m² production facility in Roeselare dedicated to the new-generation electric Citea city bus. The plant has an annual capacity of 800 units and became the company's centralized hub for all city bus production in September 2025.",€40 million in new plant investment,BEL,VDL GROUP,50.949909,3.129447,Roeselare,VDL GROUP Roeselare
